service_id,date,exception_type
"538_100951","20200507","1"
"538_100951","20200514","1"
"538_100951","20200521","1"
"538_100951","20200528","1"
"538_100951","20200604","1"
"538_100952","20190930","1"
"538_100952","20191001","1"
"538_100952","20191002","1"
"538_100952","20191003","1"
"538_100952","20191005","1"
"538_100952","20191007","1"
"538_100952","20191008","1"
"538_100952","20191009","1"
"538_100952","20191010","1"
"538_100952","20191012","1"
"538_100952","20191014","1"
"538_100952","20191015","1"
"538_100952","20191016","1"
"538_100952","20191017","1"
"538_100952","20191019","1"
"538_100952","20191021","1"
"538_100952","20191022","1"
"538_100952","20191023","1"
"538_100952","20191024","1"
"538_100952","20191026","1"
"538_100952","20191028","1"
"538_100952","20191029","1"
"538_100952","20191030","1"
"538_100952","20191031","1"
"538_100952","20191102","1"
"538_100952","20191104","1"
"538_100952","20191105","1"
"538_100952","20191106","1"
"538_100952","20191107","1"
"538_100952","20191109","1"
"538_100952","20191111","1"
"538_100952","20191112","1"
"538_100952","20191113","1"
"538_100952","20191114","1"
"538_100952","20191116","1"
"538_100952","20191118","1"
"538_100952","20191119","1"
"538_100952","20191120","1"
"538_100952","20191121","1"
"538_100952","20191123","1"
"538_100952","20191125","1"
"538_100952","20191126","1"
"538_100952","20191127","1"
"538_100952","20191128","1"
"538_100952","20191130","1"
"538_100952","20191202","1"
"538_100952","20191203","1"
"538_100952","20191204","1"
"538_100952","20191205","1"
"538_100952","20191207","1"
"538_100952","20191209","1"
"538_100952","20191210","1"
"538_100952","20191211","1"
"538_100952","20191212","1"
"538_100952","20191214","1"
"538_100952","20191216","1"
"538_100952","20191217","1"
"538_100952","20191218","1"
"538_100952","20191219","1"
"538_100952","20191221","1"
"538_100952","20191223","1"
"538_100952","20191224","1"
"538_100952","20191228","1"
"538_100952","20191230","1"
"538_100952","20191231","1"
"538_100952","20200102","1"
"538_100952","20200104","1"
"538_100952","20200107","1"
"538_100952","20200108","1"
"538_100952","20200109","1"
"538_100952","20200111","1"
"538_100952","20200113","1"
"538_100952","20200114","1"
"538_100952","20200115","1"
"538_100952","20200116","1"
"538_100952","20200118","1"
"538_100952","20200120","1"
"538_100952","20200121","1"
"538_100952","20200122","1"
"538_100952","20200123","1"
"538_100952","20200125","1"
"538_100952","20200127","1"
"538_100952","20200128","1"
"538_100952","20200129","1"
"538_100952","20200130","1"
"538_100952","20200201","1"
"538_100952","20200203","1"
"538_100952","20200204","1"
"538_100952","20200205","1"
"538_100952","20200206","1"
"538_100952","20200208","1"
"538_100952","20200210","1"
"538_100952","20200211","1"
"538_100952","20200212","1"
"538_100952","20200213","1"
"538_100952","20200215","1"
"538_100952","20200217","1"
"538_100952","20200218","1"
"538_100952","20200219","1"
"538_100952","20200220","1"
"538_100952","20200222","1"
"538_100952","20200224","1"
"538_100952","20200225","1"
"538_100952","20200226","1"
"538_100952","20200227","1"
"538_100952","20200229","1"
"538_100952","20200302","1"
"538_100952","20200303","1"
"538_100952","20200304","1"
"538_100952","20200305","1"
"538_100952","20200307","1"
"538_100952","20200309","1"
"538_100952","20200310","1"
"538_100952","20200311","1"
"538_100952","20200312","1"
"538_100952","20200314","1"
"538_100952","20200316","1"
"538_100952","20200317","1"
"538_100952","20200318","1"
"538_100952","20200319","1"
"538_100952","20200321","1"
"538_100952","20200323","1"
"538_100952","20200324","1"
"538_100952","20200325","1"
"538_100952","20200326","1"
"538_100952","20200328","1"
"538_100952","20200330","1"
"538_100952","20200331","1"
"538_100952","20200401","1"
"538_100952","20200402","1"
"538_100952","20200404","1"
"538_100952","20200406","1"
"538_100952","20200407","1"
"538_100952","20200408","1"
"538_100952","20200409","1"
"538_100952","20200411","1"
"538_100952","20200414","1"
"538_100952","20200415","1"
"538_100952","20200416","1"
