service_id,date,exception_type
"171_100207","20200504","1"
"171_100207","20200505","1"
"171_100207","20200506","1"
"171_100207","20200507","1"
"171_100207","20200508","1"
"171_100207","20200511","1"
"171_100207","20200512","1"
"171_100207","20200513","1"
"171_100207","20200514","1"
"171_100207","20200515","1"
"171_100207","20200518","1"
"171_100207","20200519","1"
"171_100207","20200520","1"
"171_100207","20200521","1"
"171_100207","20200522","1"
"171_100207","20200525","1"
"171_100207","20200526","1"
"171_100207","20200527","1"
"171_100207","20200528","1"
"171_100207","20200529","1"
"171_100207","20200601","1"
"171_100207","20200603","1"
"171_100207","20200604","1"
"171_100207","20200605","1"
"171_100209","20191125","1"
"171_100209","20191126","1"
"171_100209","20191127","1"
"171_100209","20191128","1"
"171_100209","20191130","1"
"171_100209","20191202","1"
"171_100209","20191203","1"
"171_100209","20191204","1"
"171_100209","20191205","1"
"171_100209","20191207","1"
"171_100209","20191209","1"
"171_100209","20191210","1"
"171_100209","20191211","1"
"171_100209","20191212","1"
"171_100209","20191214","1"
"171_100209","20191216","1"
"171_100209","20191217","1"
"171_100209","20191218","1"
"171_100209","20191219","1"
"171_100209","20191221","1"
"171_100209","20191223","1"
"171_100209","20191224","1"
"171_100209","20191227","1"
"171_100209","20191228","1"
"171_100209","20191230","1"
"171_100209","20191231","1"
"171_100209","20200102","1"
"171_100209","20200103","1"
"171_100209","20200104","1"
"171_100209","20200107","1"
"171_100209","20200108","1"
"171_100209","20200109","1"
"171_100209","20200111","1"
"171_100209","20200113","1"
"171_100209","20200114","1"
"171_100209","20200115","1"
"171_100209","20200116","1"
"171_100209","20200118","1"
"171_100209","20200120","1"
"171_100209","20200121","1"
"171_100209","20200122","1"
"171_100209","20200123","1"
"171_100209","20200125","1"
"171_100209","20200127","1"
"171_100209","20200128","1"
"171_100209","20200129","1"
"171_100209","20200130","1"
"171_100209","20200201","1"
"171_100209","20200203","1"
"171_100209","20200204","1"
"171_100209","20200205","1"
"171_100209","20200206","1"
"171_100209","20200208","1"
"171_100209","20200210","1"
"171_100209","20200211","1"
"171_100209","20200212","1"
"171_100209","20200213","1"
"171_100209","20200215","1"
"171_100209","20200217","1"
"171_100209","20200218","1"
"171_100209","20200219","1"
"171_100209","20200220","1"
"171_100209","20200222","1"
"171_100209","20200224","1"
"171_100209","20200225","1"
"171_100209","20200226","1"
"171_100209","20200227","1"
"171_100209","20200229","1"
"171_100209","20200302","1"
"171_100209","20200303","1"
"171_100209","20200304","1"
"171_100209","20200305","1"
"171_100209","20200307","1"
"171_100209","20200309","1"
"171_100209","20200310","1"
"171_100209","20200311","1"
"171_100209","20200312","1"
"171_100209","20200314","1"
"171_100209","20200316","1"
"171_100209","20200317","1"
"171_100209","20200318","1"
"171_100209","20200319","1"
"171_100209","20200321","1"
"171_100209","20200323","1"
"171_100209","20200324","1"
"171_100209","20200325","1"
"171_100209","20200326","1"
"171_100209","20200328","1"
"171_100209","20200330","1"
"171_100209","20200331","1"
"171_100209","20200401","1"
"171_100209","20200402","1"
"171_100209","20200404","1"
"171_100209","20200406","1"
"171_100209","20200407","1"
"171_100209","20200408","1"
"171_100209","20200409","1"
"171_100209","20200410","1"
"171_100209","20200411","1"
"171_100209","20200413","1"
"171_100209","20200414","1"
"171_100209","20200415","1"
"171_100209","20200416","1"
"171_100209","20200418","1"
