stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"W00001","54 P.Zza Liberta","44.1631352703786","12.4454560228548","0",""
"W00002","Marina-Vespucci","44.1618984597688","12.44329265916","0",""
"W00003","Marina-M.Polo","44.1599421406751","12.4393565078902","0",""
"W00004","Nazioni-Euclide","44.1728473843311","12.4353266209098","0",""
"W00005","Nazioni-Euclide","44.1729409806062","12.4352850356414","0",""
"W00006","Villamarina","44.1763420621898","12.4321915402316","0",""
"W00007","Carducci Parco","44.1874836771923","12.4186420704941","0",""
"W00008","Carducci-Deledda","44.1894381867232","12.416492185742","0",""
"W00009","P.Zza Marconi","44.192894650586","12.412687291277","0",""
"W00010","Scuole","44.1045903130591","12.4198866548705","0",""
"W00011","Giardini","44.1067573375589","12.41897080135","0",""
"W00012","Roma","44.1997607148657","12.4026378767671","0",""
"W00013","Roma","44.1997547433071","12.4031668750187","0",""
"W00014","Incr.4 Strade","44.0885910710939","12.437635979607","0",""
"W00015","Veneto","44.1047056363568","12.4170235533832","0",""
"W00016","P.Zza Marconi","44.1928936937591","12.4124464578602","0",""
"W00019","Carducci-Deledda","44.1892295572599","12.4164231035733","0",""
"W00020","Carducci Parco","44.1876309674715","12.4181883381132","0",""
"W00021","Villamarina","44.1762441806507","12.4320425495598","0",""
"W00022","Delle Nazioni","44.1693519125215","12.4292179284447","0",""
"W00023","Delle Nazioni","44.169474101588","12.4290468859675","0",""
"W00024","Marina-M.Polo","44.1600139962585","12.439750465024","0",""
"W00025","Marina-Vespucci","44.1619765477168","12.4437645301493","0",""
"W00026","53 S.Mauro P.L.","44.1620690362472","12.4448798640998","0",""
"W00027","53 S.Mauro P.L.","44.1621775261703","12.444900191618","0",""
"W00028","Incr.4 Strade","44.088717534692","12.4378553541065","0",""
"W00029","A.Emil.Ranocchia","44.0883975111628","12.4274267749671","0",""
"W00030","Rio Salto-Cella","44.0942570503045","12.4231719899783","0",""
"W00031","Rio Salto-Nilo","44.0966696436057","12.4203718609225","0",""
"W00032","R.Salto-Romagna","44.0991990561072","12.418759510598","0",""
"W00033","R.Salto-Gorizia","44.1026693005729","12.4163532702968","0",""
"W00034","Veneto-Gorizia","44.1034175922493","12.4171952443109","0",""
"W00035","Spinelli","44.1069984013153","12.4172891210192","0",""
"W00036","Xx Settembre","44.1090504213172","12.4174589845078","0",""
"W00039","Arno-Tevere","44.1095548327601","12.4158782087943","0",""
"W00040","Spinelli","44.1072504273255","12.4170875929303","0",""
"W00042","R.Salto-Romagna","44.099780586332","12.4180002118384","0",""
"W00043","Rio Salto-Nilo","44.0977011753578","12.4196055215576","0",""
"W00044","Rio Salto-Cella","44.0941022383244","12.4228945213106","0",""
"W00045","A.Emil.Ranocchia","44.0883015990588","12.4279649203728","0",""
"W00046","Antica Emilia","44.088592339176","12.4344850815503","0",""
"W00047","P.Zza Giorgi","44.1060860053478","12.4133743208623","0",""
"W00048","Matteotti-Tosi","44.1067634570314","12.4150627917113","0",""
"W00049","Matteotti-Tosi","44.106803713539","12.4144550388726","0",""
"W00050","P.Zza Giorgi","44.1060898808785","12.4129493340259","0",""
"W00051","Roma-Cimitero","44.1021335579091","12.4088022491999","0",""
"W00052","Roma-Cimitero","44.1019761968672","12.4090090272436","0",""
"W00053","Xx Settembre","44.1089800919378","12.41753389653","0",""
"W00054","Arno-Tevere","44.1095258726974","12.4157920038586","0",""
"W00055","Costa","44.1040018543558","12.4111913153133","0",""
"W00056","Costa","44.1041049717797","12.4109744104967","0",""
"W00057","R.Salto-Gorizia","44.102523346964","12.4162690502733","0",""
"X00001","Ca Schirpo","43.8403539121117","12.6030131111755","0",""
"X00003","P.Zza V.Emanuele","43.8439436570354","12.5941420042264","0",""
"X00004","P.Zza V.Emanuele","43.843873455935","12.5939839216385","0",""
"X00005","Casinella-Serra","43.8542503176003","12.5983860078868","0",""
"X00006","Casinella-Serra","43.8542501724352","12.5980642667418","0",""
"X00007","Ca Schirpo","43.8407224553535","12.6012693156663","0",""
"X00008","Rossini","43.8457103313417","12.5905760991374","0",""
"X00009","Rossini","43.846073122205","12.59051037656","0",""
"Y00001","Torrianese","44.0043009263352","12.4008342710583","0",""
"Y00002","Gemmiano","43.99888002634","12.3934432362772","0",""
"Y00003","Polverella","43.9939168482167","12.3917188945694","0",""
"Y00004","Sodo Comune","43.9915440678962","12.3875242949942","0",""
"Y00005","Centro Torriana","43.9855546767263","12.3853774109515","0",""
"Y00006","Villaggio Agora","43.9811336824274","12.3843746104929","0",""
"Y00007","Castello","43.9777632782541","12.3824655098542","0",""
"Y00008","Gessi","43.975554494147","12.3797824237071","0",""
"Y00009","Gessi-Palazzetto","43.9739109298417","12.3746654257815","0",""
"Y00010","Gessi Cimitero","43.972931551129","12.3724022769909","0",""
"Y00011","Montebello","43.9701323822279","12.3698954400365","0",""
"Y00012","Gessi Cimitero","43.9728828886167","12.3726350562125","0",""
"Y00013","Gessi-Palazzetto","43.973867129925","12.3751099284702","0",""
"Y00014","Gessi","43.9757019070924","12.380321377171","0",""
"Y00015","Castello","43.9779845552256","12.3834781320171","0",""
"Y00016","Villaggio Agora","43.9814700261272","12.3847120663727","0",""
"Y00017","Villaggio Agora","43.9812157669031","12.3846172542935","0",""
"Y00018","P.Zza Liberta","43.9801589388373","12.3856455437914","0",""
"Y00019","Borgellino","43.9782732252155","12.3864514701417","0",""
"Y00020","Franzolini","43.9770695828138","12.3930715495276","0",""
"Y00021","Franzolini","43.9778087704201","12.3972563677414","0",""
"Y00023","Franzolini","43.9790950932871","12.4005664764925","0",""
"Y00024","Ponte Marecchia","43.9830873185438","12.4042574821557","0",""
"Y00025","Centro Torriana","43.9858787488158","12.3853756460267","0",""
"Y00026","Sodo Comune","43.99025847121","12.3865425099073","0",""
"Y00027","Polverella","43.9941297680178","12.3920537639216","0",""
"Y00028","Gemmiano","43.9990127044414","12.3935757970224","0",""
"Y00029","Torrianese","44.0042088276437","12.4009411987564","0",""
"Y00030","Ca Della Betta","43.9926608379145","12.4012709827693","0",""
"Y00031","Zona Industriale","43.9944761178204","12.401915038847","0",""
"Y00032","Torrianese,30","43.992887373557","12.3885096902828","0",""
"Y00033","Zona Industriale","43.9945028426599","12.4017442644641","0",""
"Y00034","Cervi-Famignano","43.9985841748262","12.4023782832596","0",""
"Y00036","Colombare","44.0015618598353","12.4016904451111","0",""
"Y00037","Cervi-Famignano","43.9979398051479","12.4022003223547","0",""
"Y00038","Colombare","44.001589554261","12.4018788196887","0",""
"Y00039","Colombare","44.0015769819679","12.4018913623639","0",""
"Y00040","Ponte Marecchia","43.983031287427","12.4040105503303","0",""
"Y00041","Franzolini","43.9791040477109","12.4003665988804","0",""
"Y00043","Franzolini","43.9779516126173","12.3972033701537","0",""
"Y00044","Franzolini","43.9771670069821","12.3931981931022","0",""
"Y00045","Borgellino","43.978433971534","12.386590910721","0",""
"Y00046","P.Zza Liberta","43.980538198269","12.3853015997726","0",""
"Y00047","Villaggio Agora","43.9814463958732","12.3848596081341","0",""
"Y00048","Ponte Marecchia","43.983550183785","12.4037825567813","0",""
"Y00049","Torrianese,30","43.992699494887","12.3885615822894","0",""
"Y00050","Torrianacimitero","43.9879515440454","12.384287015722","0",""
"Y00051","Torrianacimitero","43.9881129137039","12.3845325047599","0",""
"Y00052","Colleverde","44.0009122715576","12.3947554212059","0",""
"Y00053","Area Camper","43.9716922054037","12.3686266700836","0",""
"Y00054","Colleverde","44.0012265084919","12.3953091624892","0",""
"Y00055","Ca Della Betta","43.9928319003596","12.4010733334107","0",""
"Y00058","Osteriaccia","43.98346350765","12.4036176379623","0",""
